,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,220,4M0867902A,MOUNTING PART,MH-17,HEADLINER,43,,,,,,,,,,Counted,,,
,221,4M0868149 4PK,LOUDSPEAKER GRILLE,MH-2,HEADLINER,28,,,,,,,,,,Counted,,,
,222,4M0868150 4PK,LOUDSPEAKER GRILLE,MH-4,HEADLINER,3,,,,,,,,,,Counted,,,
,223,4M0941717,HOSE,FE-107,FRONTEND,40,,,,,,,,,,Counted,,,
,224,4M0941718,HOSE,FE-110,FRONTEND,41,,,,,,,,,,Counted,,,
,226,4M0947111 6PS,INTERIOR LIGHT,MH-18,HEADLINER,43,,,,,,,,,,Counted,,,
,227,4M0951209,HORN W.BRACKET,FE-42,FRONTEND,14,,,,,,,,,,Counted,,,
,228,4M0951210,HORN W.BRACKET,FE-44,FRONTEND,17,,,,,,,,,,Counted,,,
,229,4M0971100L,"HARNESS, ROOF",MH-5,HEADLINER,16,,,,,,,,,,Counted,,,
,230,4M0971677C,"HARNESS,CRASH SENSOR",FE-106,FRONTEND,30,,,,,,,,,,Counted,,,
,231,4N0145769A,RETAINING CLIP,FE-80,FRONTEND,550,,,,,,,,,,Counted,,,
,232,4N0959651F,FRONT SENSOR,FE-104,FRONTEND,26,320,,,,,,,,,Counted,,,
,233,5N0867633A,CLAMP,MH-19,HEADLINER,0,,,,,,,,,,Counted,,Part sudah pasang pada Headliner,
,234,7P0121276,BUFFER,FE-56,FRONTEND,160,26,,,,,,,,,Counted,,,
,235,7P0121365,BEARING SLEEVE,FE-57,FRONTEND,66,,,,,,,,,,Counted,,,
,236,8K0129734A,SPACER,FE-53,FRONTEND,270,27,,,,,,,,,Counted,,,
,237,8K0805399B,FLAT HEAD SELF-TAPPING SCREW,FE-69,FRONTEND,295,,,,,,,,,,Counted,,,
,238,8Z0820535B,OUTER SENSOR,FE-97,FRONTEND,57,,,,,,,,,,Counted,,,
,239,N 10650701,HEXALOBULAR SOCKET HEAD CAP BOLT,FE-43,FRONTEND,136,,,,,,,,,,Counted,,,
,240,N 10666302,FILLISTER HEAD SELF-TAPPING SCREW,MH-12,HEADLINER,223,,,,,,,,,,Counted,,,
,241,N 90060203,HEXALOBULAR SOCKET SCREW,MH-3,HEADLINER,186,,,,,,,,,,Counted,,,
,242,N 90653901,U-CLAMP,FE-92,FRONTEND,124,,,,,,,,,,Counted,,,
,243,N 90684704,HEXALOBULAR SOCKET SCREW W.WASHER,FE-103,FRONTEND,155,,,,,,,,,,Counted,,,
,244,N 90993603,HEXALOBULAR SOCKET SCREW W.WASHER,FE-83,FRONTEND,217,,,,,,,,,,Counted,,,
,245,N 90999502,HEXAGON FLANGE BOLT,FE-91,FRONTEND,96,,,,,,,,,,Counted,,,
,246,N 91071702,HEXALOBULAR SOCKET PAN HEAD SCREW,FE-71,FRONTEND,142,,,,,,,,,,Counted,,,
,247,N 91071702,HEXALOBULAR SOCKET PAN HEAD SCREW,FE-105,FRONTEND,0,,,,,,,,,,Counted,,,
,248,N 91148201,HEXALOBULAR SOCKET PAN HEAD SCREW,FE-67,FRONTEND,79,56,,,,,,,,,Counted,,,
,249,N 91186001,DUO BOLT W.WASHER,FE-95,FRONTEND,72,,,,,,,,,,Counted,,,
,250,N 91199401,HEXALOBULAR SOCKET PAN HEAD SCREW,FE-76,FRONTEND,4,100,,,,,,,,,Counted,,,
,251,N 91215101,12-POINT SOCKET BO LT WITH WASHER,FE-49,FRONTEND,59,,,,,,,,,,Counted,,,
